Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
A12M1~,,,,
A2MRAP~,,,,
ASIC1,12/20/15,ACCN2,BNaC2|hBNaC2,ACCN2|BNaC2|hBNaC2
BNaC2,12/20/15,ACCN2,ASIC1|hBNaC2,ACCN2|ASIC1|hBNaC2
hBNaC2,12/20/15,ACCN2,ASIC1|BNaC2,ACCN2|ASIC1|BNaC2
BCL5,,,,
RGS4,4/20/17,SCZD9,,SCZD9
RGS5,4/20/17,,,
RGS6,4/20/17,,,
RGS7,4/20/17,,,
RGS9,4/20/17,,PERRS|RGS9L|MGC26458|MGC111763,PERRS|RGS9L|MGC26458|MGC111763
PERRS,4/20/17,,RGS9|RGS9L|MGC26458|MGC111763,RGS9|RGS9L|MGC26458|MGC111763
RGS9L,4/20/17,,RGS9|PERRS|MGC26458|MGC111763,RGS9|PERRS|MGC26458|MGC111763
MGC26458,4/20/17,,RGS9|PERRS|RGS9L|MGC111763,RGS9|PERRS|RGS9L|MGC111763
MGC111763,4/20/17,,RGS9|PERRS|RGS9L|MGC26458,RGS9|PERRS|RGS9L|MGC26458
RH~,,,,
RHAG,2/20/06,,RH50A|CD241|SLC42A1,RH50A|CD241|SLC42A1
RH50A,2/20/06,,RHAG|CD241|SLC42A1,RHAG|CD241|SLC42A1
CD241,2/20/06,,RHAG|RH50A|SLC42A1,RHAG|RH50A|SLC42A1
SLC42A1,2/20/06,,RHAG|RH50A|CD241,RHAG|RH50A|CD241
RHBDL1,5/20/16,RHBDL,RRP,RHBDL|RRP
RRP,5/20/16,RHBDL,RHBDL1,RHBDL|RHBDL1
RHCE,1/20/16,RH,CD240CE,RH|CD240CE
CD240CE,1/20/16,RH,RHCE,RH|RHCE
RHD,1/20/16,RH,Rh30a|Rh4|RhPI|RhII|DIIIc|CD240D,RH|Rh30a|Rh4|RhPI|RhII|DIIIc|CD240D
Rh30a,1/20/16,RH,RHD|Rh4|RhPI|RhII|DIIIc|CD240D,RH|RHD|Rh4|RhPI|RhII|DIIIc|CD240D
Rh4,1/20/16,RH,RHD|Rh30a|RhPI|RhII|DIIIc|CD240D,RH|RHD|Rh30a|RhPI|RhII|DIIIc|CD240D
RhPI,1/20/16,RH,RHD|Rh30a|Rh4|RhII|DIIIc|CD240D,RH|RHD|Rh30a|Rh4|RhII|DIIIc|CD240D
